company_name,domain,segment,persona_side,title_filter,state,category
Broad Reach Retail,broadreachretail.com,A-center-owner,owner,owner-asset-manager,MD,
Great Falls Marketplace,greatfallsmarketplace.com,A-center-owner,owner,owner-asset-manager,MT,
"Stonegate Developers, LLC",stonegatedevelopers.com,A-center-owner,owner,owner-asset-manager,NC,
Big V Property Group,bigv.com,A-center-owner,owner,owner-asset-manager,NC,
Chase Development Company,chasedevelopment.com,A-center-owner,owner,owner-asset-manager,NC,
The Was Group LLC,was-group.com,A-center-owner,owner,owner-asset-manager,NJ,
DLC Management Corp.,dlcmgmt.com,A-center-owner,owner,owner-asset-manager,NY,
Spinoso Real Estate Group,spinosoreg.com,A-center-owner,owner,owner-asset-manager,NY,
Related Management Company,related.jobs,A-center-owner,owner,owner-asset-manager,NY,
Shopping Center,plazamarquee4.com,A-center-owner,owner,owner-asset-manager,NY,
Olympic Realty & Development Corporation,olympicrd.com,A-center-owner,owner,owner-asset-manager,NY,
Curbline Properties Corp.,curbline.com,A-center-owner,owner,owner-asset-manager,NY,
ECHO Realty,echorealty.com,A-center-owner,owner,owner-asset-manager,PA,
R & R Property Managers Inc.,rrpmi.com,A-center-owner,owner,owner-asset-manager,PA,
RockStep Capital,rockstep.com,A-center-owner,owner,owner-asset-manager,TX,
The Ainbinder Company,ainbinder.com,A-center-owner,owner,owner-asset-manager,TX,
KM Realty,kmrealty.net,A-center-owner,owner,owner-asset-manager,TX,
NTP,newterritorypartners.com,A-center-owner,owner,owner-asset-manager,TX,
Centres Southwest,centressouthwest.com,A-center-owner,owner,owner-asset-manager,TX,
"Breaking Ground Development, LLC",breakingground.dev,A-center-owner,owner,owner-asset-manager,TX,
Rappaport,rappaportco.com,A-center-owner,owner,owner-asset-manager,VA,
WHLR Real Estate Investment Trust,whlr.us,A-center-owner,owner,owner-asset-manager,VA,
Beatty Management Company,beattycos.com,A-center-owner,owner,owner-asset-manager,VA,
Allen Edmonds,allenedmonds.com,B-flagship-brand,brand,vp-brand-marketing,WI,apparel-fashion
Anthropologie,anthropologie.com,B-flagship-brand,brand,vp-brand-marketing,PA,apparel-fashion
Aritzia,aritzia.com,B-flagship-brand,brand,vp-brand-marketing,WA,apparel-fashion
Calvin Klein,calvinklein.us,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Free People,freepeople.com,B-flagship-brand,brand,vp-brand-marketing,PA,apparel-fashion
J.Crew,jcrew.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Johnny Was,johnnywas.com,B-flagship-brand,brand,vp-brand-marketing,CA,apparel-fashion
Johnston & Murphy,johnstonmurphy.com,B-flagship-brand,brand,vp-brand-marketing,TN,apparel-fashion
Kith,kith.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Lacoste,lacoste.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Levi's,levi.com,B-flagship-brand,brand,vp-brand-marketing,CA,apparel-fashion
Madewell,madewell.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Supreme,supremenewyork.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Tommy Hilfiger,tommy.com,B-flagship-brand,brand,vp-brand-marketing,NY,apparel-fashion
Urban Outfitters,urbanoutfitters.com,B-flagship-brand,brand,vp-brand-marketing,PA,apparel-fashion
Adidas,adidas.com,B-flagship-brand,brand,vp-brand-marketing,OR,athletic-footwear
Allbirds,allbirds.com,B-flagship-brand,brand,vp-brand-marketing,CA,athletic-footwear
Alo Yoga,aloyoga.com,B-flagship-brand,brand,vp-brand-marketing,CA,athletic-footwear
Arc'teryx,arcteryx.com,B-flagship-brand,brand,vp-brand-marketing,WA,athletic-footwear
HOKA,hoka.com,B-flagship-brand,brand,vp-brand-marketing,CA,athletic-footwear
Lululemon,lululemon.com,B-flagship-brand,brand,vp-brand-marketing,WA,athletic-footwear
New Balance,newbalance.com,B-flagship-brand,brand,vp-brand-marketing,MA,athletic-footwear
Nike,nike.com,B-flagship-brand,brand,vp-brand-marketing,OR,athletic-footwear
On,on.com,B-flagship-brand,brand,vp-brand-marketing,OR,athletic-footwear
Under Armour,underarmour.com,B-flagship-brand,brand,vp-brand-marketing,MD,athletic-footwear
Vuori,vuoriclothing.com,B-flagship-brand,brand,vp-brand-marketing,CA,athletic-footwear
Bergdorf Goodman,bergdorfgoodman.com,B-flagship-brand,brand,vp-brand-marketing,NY,department-flagship
Bloomingdale's,bloomingdales.com,B-flagship-brand,brand,vp-brand-marketing,NY,department-flagship
Neiman Marcus,neimanmarcus.com,B-flagship-brand,brand,vp-brand-marketing,TX,department-flagship
Nordstrom,nordstrom.com,B-flagship-brand,brand,vp-brand-marketing,WA,department-flagship
Saks Fifth Avenue,saks.com,B-flagship-brand,brand,vp-brand-marketing,NY,department-flagship
Aesop,aesop.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Bluemercury,bluemercury.com,B-flagship-brand,brand,vp-brand-marketing,DC,dtc-beauty
Creed,creedboutique.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Diptyque,diptyqueparis.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Estee Lauder,esteelauder.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Glossier,glossier.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Jo Malone,jomalone.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Kiehl's,kiehls.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Le Labo,lelabofragrances.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
MAC Cosmetics,maccosmetics.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-beauty
Maison Francis Kurkdjian,franciskurkdjian.com,B-flagship-brand,brand,vp-brand-marketing,intl,dtc-beauty
Parfums de Marly,parfums-de-marly.com,B-flagship-brand,brand,vp-brand-marketing,intl,dtc-beauty
Sephora,sephora.com,B-flagship-brand,brand,vp-brand-marketing,CA,dtc-beauty
Ulta Beauty,ulta.com,B-flagship-brand,brand,vp-brand-marketing,IL,dtc-beauty
Casper,casper.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-home
Parachute,parachutehome.com,B-flagship-brand,brand,vp-brand-marketing,CA,dtc-home
Away,awaytravel.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-lifestyle
Buck Mason,buckmason.com,B-flagship-brand,brand,vp-brand-marketing,CA,dtc-lifestyle
Faherty,fahertybrand.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-lifestyle
Marine Layer,marinelayer.com,B-flagship-brand,brand,vp-brand-marketing,CA,dtc-lifestyle
Monos,monos.com,B-flagship-brand,brand,vp-brand-marketing,intl,dtc-lifestyle
Rimowa,rimowa.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-lifestyle
Rothy's,rothys.com,B-flagship-brand,brand,vp-brand-marketing,CA,dtc-lifestyle
Tumi,tumi.com,B-flagship-brand,brand,vp-brand-marketing,NJ,dtc-lifestyle
Warby Parker,warbyparker.com,B-flagship-brand,brand,vp-brand-marketing,NY,dtc-lifestyle
Eataly,eataly.com,B-flagship-brand,brand,vp-brand-marketing,NY,experiential-hospitality
Nespresso,nespresso.com,B-flagship-brand,brand,vp-brand-marketing,NY,experiential-hospitality
SoulCycle,soul-cycle.com,B-flagship-brand,brand,vp-brand-marketing,NY,experiential-hospitality
Starbucks Reserve,starbucks.com,B-flagship-brand,brand,vp-brand-marketing,WA,experiential-hospitality
American Girl,americangirl.com,B-flagship-brand,brand,vp-brand-marketing,WI,experiential-specialty
Build-A-Bear,buildabear.com,B-flagship-brand,brand,vp-brand-marketing,MO,experiential-specialty
Disney,shopdisney.com,B-flagship-brand,brand,vp-brand-marketing,CA,experiential-specialty
FAO Schwarz,faoschwarz.com,B-flagship-brand,brand,vp-brand-marketing,NY,experiential-specialty
Hershey's,hersheys.com,B-flagship-brand,brand,vp-brand-marketing,PA,experiential-specialty
Lego,lego.com,B-flagship-brand,brand,vp-brand-marketing,CT,experiential-specialty
M&M's,mms.com,B-flagship-brand,brand,vp-brand-marketing,NJ,experiential-specialty
Muji,muji.com,B-flagship-brand,brand,vp-brand-marketing,intl,experiential-specialty
Nintendo,nintendo.com,B-flagship-brand,brand,vp-brand-marketing,WA,experiential-specialty
CB2,cb2.com,B-flagship-brand,brand,vp-brand-marketing,IL,home-furniture
Crate & Barrel,crateandbarrel.com,B-flagship-brand,brand,vp-brand-marketing,IL,home-furniture
Design Within Reach,dwr.com,B-flagship-brand,brand,vp-brand-marketing,CT,home-furniture
Ethan Allen,ethanallen.com,B-flagship-brand,brand,vp-brand-marketing,CT,home-furniture
IKEA,ikea.com,B-flagship-brand,brand,vp-brand-marketing,PA,home-furniture
Pottery Barn,potterybarn.com,B-flagship-brand,brand,vp-brand-marketing,CA,home-furniture
Restoration Hardware,rh.com,B-flagship-brand,brand,vp-brand-marketing,CA,home-furniture
Room & Board,roomandboard.com,B-flagship-brand,brand,vp-brand-marketing,MN,home-furniture
Sur La Table,surlatable.com,B-flagship-brand,brand,vp-brand-marketing,WA,home-furniture
West Elm,westelm.com,B-flagship-brand,brand,vp-brand-marketing,CA,home-furniture
Williams Sonoma,williams-sonoma.com,B-flagship-brand,brand,vp-brand-marketing,CA,home-furniture
Breitling,breitling.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Buccellati,buccellati.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Bulgari,bulgari.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Cartier,cartier.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Chopard,chopard.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
David Yurman,davidyurman.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
De Beers,debeers.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Graff,graff.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Harry Winston,harrywinston.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Longines,longines.com,B-flagship-brand,brand,vp-brand-marketing,intl,jewelry-watches
Mikimoto,mikimotoamerica.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Montblanc,montblanc.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Omega,omegawatches.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Piaget,piaget.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Rolex,rolex.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Shinola,shinola.com,B-flagship-brand,brand,vp-brand-marketing,MI,jewelry-watches
Tag Heuer,tagheuer.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Tiffany & Co.,tiffany.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Tissot,tissotwatches.com,B-flagship-brand,brand,vp-brand-marketing,intl,jewelry-watches
Van Cleef & Arpels,vancleefarpels.com,B-flagship-brand,brand,vp-brand-marketing,NY,jewelry-watches
Armani,armani.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Balenciaga,balenciaga.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Bottega Veneta,bottegaveneta.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Brooks Brothers,brooksbrothers.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Burberry,burberry.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Canada Goose,canadagoose.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Chanel,chanel.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Coach,coach.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Dior,dior.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Dolce & Gabbana,dolcegabbana.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Fendi,fendi.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Ferragamo,ferragamo.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Gucci,gucci.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Hermes,hermes.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Kate Spade,katespade.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Louis Vuitton,louisvuitton.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Michael Kors,michaelkors.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Moncler,moncler.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Prada,prada.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Ralph Lauren,ralphlauren.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Saint Laurent,ysl.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Theory,theory.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Tory Burch,toryburch.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Versace,versace.com,B-flagship-brand,brand,vp-brand-marketing,NY,luxury-fashion
Bass Pro Shops,basspro.com,B-flagship-brand,brand,vp-brand-marketing,MO,outdoor
Black Diamond,blackdiamondequipment.com,B-flagship-brand,brand,vp-brand-marketing,UT,outdoor
Cabela's,cabelas.com,B-flagship-brand,brand,vp-brand-marketing,MO,outdoor
Filson,filson.com,B-flagship-brand,brand,vp-brand-marketing,WA,outdoor
First Lite,firstlite.com,B-flagship-brand,brand,vp-brand-marketing,ID,outdoor
KÜHL,kuhl.com,B-flagship-brand,brand,vp-brand-marketing,UT,outdoor
L.L.Bean,llbean.com,B-flagship-brand,brand,vp-brand-marketing,ME,outdoor
Orvis,orvis.com,B-flagship-brand,brand,vp-brand-marketing,VT,outdoor
Outdoor Research,outdoorresearch.com,B-flagship-brand,brand,vp-brand-marketing,WA,outdoor
Patagonia,patagonia.com,B-flagship-brand,brand,vp-brand-marketing,CA,outdoor
Pendleton,pendleton-usa.com,B-flagship-brand,brand,vp-brand-marketing,OR,outdoor
REI,rei.com,B-flagship-brand,brand,vp-brand-marketing,WA,outdoor
Sitka Gear,sitkagear.com,B-flagship-brand,brand,vp-brand-marketing,MT,outdoor
The North Face,thenorthface.com,B-flagship-brand,brand,vp-brand-marketing,CO,outdoor
Yeti,yeti.com,B-flagship-brand,brand,vp-brand-marketing,TX,outdoor
Apple,apple.com,B-flagship-brand,brand,vp-brand-marketing,CA,tech-experiential
Bang & Olufsen,bang-olufsen.com,B-flagship-brand,brand,vp-brand-marketing,intl,tech-experiential
Bose,bose.com,B-flagship-brand,brand,vp-brand-marketing,MA,tech-experiential
Dyson,dyson.com,B-flagship-brand,brand,vp-brand-marketing,IL,tech-experiential
Google,store.google.com,B-flagship-brand,brand,vp-brand-marketing,CA,tech-experiential
Peloton,onepeloton.com,B-flagship-brand,brand,vp-brand-marketing,NY,tech-experiential
Polestar,polestar.com,B-flagship-brand,brand,vp-brand-marketing,NJ,tech-experiential
Rivian,rivian.com,B-flagship-brand,brand,vp-brand-marketing,CA,tech-experiential
Samsung,samsung.com,B-flagship-brand,brand,vp-brand-marketing,NJ,tech-experiential
Sonos,sonos.com,B-flagship-brand,brand,vp-brand-marketing,CA,tech-experiential
Tesla,tesla.com,B-flagship-brand,brand,vp-brand-marketing,TX,tech-experiential
Vail Resorts,vailresorts.com,C1-resort-operator,owner,owner-asset-manager,CO,resort-operator
Alterra Mountain Company,alterramtnco.com,C1-resort-operator,owner,owner-asset-manager,CO,resort-operator
Aspen Skiing Company (Aspen One),aspensnowmass.com,C1-resort-operator,owner,owner-asset-manager,CO,resort-operator
Boyne Resorts,boyne.com,C1-resort-operator,owner,owner-asset-manager,MI,resort-operator
Powdr Corporation,powdr.com,C1-resort-operator,owner,owner-asset-manager,UT,resort-operator
Jackson Hole Mountain Resort,jacksonhole.com,C1-resort-operator,owner,owner-asset-manager,WY,resort-operator
Sun Valley Resort,sunvalley.com,C1-resort-operator,owner,owner-asset-manager,ID,resort-operator
Snowbasin Resort,snowbasin.com,C1-resort-operator,owner,owner-asset-manager,UT,resort-operator
Snowbird,snowbird.com,C1-resort-operator,owner,owner-asset-manager,UT,resort-operator
Deer Valley Resort,deervalley.com,C1-resort-operator,owner,owner-asset-manager,UT,resort-operator
Telluride Ski & Golf,tellurideskiresort.com,C1-resort-operator,owner,owner-asset-manager,CO,resort-operator
Park City Mountain,parkcitymountain.com,C1-resort-operator,owner,owner-asset-manager,UT,resort-operator
Yellowstone Club,yellowstoneclub.com,C1-resort-operator,owner,owner-asset-manager,MT,resort-operator
East West Partners,eastwestpartners.com,C1-resort-operator,owner,owner-asset-manager,CO,village-developer
KSL Capital Partners,kslcapital.com,C1-resort-operator,owner,owner-asset-manager,CO,resort-pe-owner
Replay Destinations,replaydestinations.com,C1-resort-operator,owner,owner-asset-manager,intl,village-developer
Bogner,bogner.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Fusalp,fusalp.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Perfect Moment,perfectmoment.com,C2-ski-flagship-brand,brand,vp-brand-marketing,NY,ski-luxury-brand
Aztech Mountain,aztechmountain.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CO,ski-luxury-brand
Stio,stio.com,C2-ski-flagship-brand,brand,vp-brand-marketing,WY,mountain-lifestyle-brand
Sport Obermeyer,obermeyer.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CO,ski-brand
Spyder,spyder.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CO,ski-brand
Kjus,kjus.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Toni Sailer,tonisailer.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Frauenschuh,frauenschuh.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Goldbergh,goldbergh.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,ski-luxury-brand
Helly Hansen,hellyhansen.com,C2-ski-flagship-brand,brand,vp-brand-marketing,intl,outdoor-ski-brand
Mountain Hardwear,mountainhardwear.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CA,outdoor-brand
Gorsuch,gorsuch.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CO,mountain-luxury-retailer
Christy Sports,christysports.com,C2-ski-flagship-brand,brand,vp-brand-marketing,CO,mountain-retailer
Surefoot,surefoot.com,C2-ski-flagship-brand,brand,vp-brand-marketing,UT,ski-boot-retailer
